rank,name,category,n_epochs,n_addresses,total_allocated_eth,total_matched_eth,total_eth,avg_eth_per_epoch,epochs_list,name_variants
77,Biodiversity & Carbon Open Protocol,Climate & Regenerative,1,1,0.0557,6.7749,6.8306,6.8306,7,Biodiversity & Carbon Open Protocol
78,Ekonavi,Climate & Regenerative,1,1,0.0998,6.6648,6.7646,6.7646,7,Ekonavi
79,M3tering Protocol,Climate & Regenerative,1,1,0.0563,6.6487,6.705,6.705,7,M3tering Protocol
80,eSusFarm,Climate & Regenerative,1,1,0.1184,6.5761,6.6945,6.6945,7,eSusFarm
81,BrightID,Security & Privacy,1,1,0.1435,6.3785,6.5221,6.5221,1,BrightID
82,PublicHAUS,Public Goods Funding,1,1,0.1398,6.2104,6.3502,6.3502,1,PublicHAUS
83,"Territorial Regeneration in Barichara, Colombia",Climate & Regenerative,1,1,0.134,5.9387,6.0728,6.0728,7,"Territorial Regeneration in Barichara, Colombia"
84,Oceanus,Climate & Regenerative,1,1,0.0568,5.983,6.0399,6.0399,7,Oceanus
85,Interview Series: Celebrating 10 Years of Ethereum & Beyond,Media & Storytelling,1,1,0.2351,5.3264,5.5615,5.5615,9,Interview Series: Celebrating 10 Years of Ethereum & Beyond
86,Ethereum Economic Zone (EEZ),Community & Coordination,1,1,0.6551,4.6882,5.3433,5.3433,12,Ethereum Economic Zone (EEZ)
87,Change Code,Climate & Regenerative,1,1,0.0508,5.1084,5.1592,5.1592,7,Change Code
88,Amongst a Potted Plant with Brooke Lacey,Media & Storytelling,1,1,0.1941,4.8786,5.0727,5.0727,9,Amongst a Potted Plant with Brooke Lacey
89,TogetherCrew,Community & Coordination,2,2,0.0393,4.7271,4.7664,2.3832,"4,6",TogetherCrew
90,rileybeans & Kimiya Mag,Media & Storytelling,1,1,0.0714,4.6172,4.6885,4.6885,9,rileybeans & Kimiya Mag
91,Kiwi News,Media & Storytelling,2,1,0.0531,4.6263,4.6794,2.3397,"5,6",Kiwi News
92,$ilence,Security & Privacy,1,1,0.1362,4.3283,4.4645,4.4645,9,$ilence
93,The Ticker is ETH,Media & Storytelling,1,1,0.1048,3.9333,4.0381,4.0381,9,The Ticker is ETH
94,ReFiDAO,Climate & Regenerative,1,1,0.044,3.984,4.028,4.028,6,ReFiDAO
95,Sembrando Ethereum Stories of Nature and Tech United,Media & Storytelling,1,1,0.0511,3.6867,3.7378,3.7378,9,Sembrando Ethereum Stories of Nature and Tech United
96,Fork'd,Media & Storytelling,1,1,0.0638,3.5422,3.606,3.606,9,Fork'd
97,Gelora (The World Computer Files),Media & Storytelling,1,1,0.1209,3.4847,3.6056,3.6056,9,Gelora (The World Computer Files)
98,Vocdoni,Security & Privacy,1,1,0.0529,3.4628,3.5157,3.5157,6,Vocdoni
99,Shibuya,Media & Storytelling,1,1,0.0571,3.443,3.5001,3.5001,9,Shibuya
100,Blobscan,Developer Tools,1,1,0.095,3.3888,3.4838,3.4838,8,Blobscan
101,Alfred By Atlantis,Climate & Regenerative,1,1,0.1202,3.2368,3.357,3.357,6,Alfred By Atlantis
