date,open,high,low,close,volume
2025-03-12,0.15720000,0.17260000,0.15360000,0.16860000,63182433.72000000
2025-03-13,0.16840000,0.17840000,0.16290000,0.17020000,45547302.79000000
2025-03-14,0.17020000,0.18100000,0.16900000,0.17540000,29559338.71000000
2025-03-15,0.17530000,0.18920000,0.17370000,0.18710000,21733796.14000000
2025-03-16,0.18710000,0.19040000,0.17460000,0.17590000,26459121.03000000
2025-03-17,0.17590000,0.18870000,0.17570000,0.18120000,29570561.30000000
2025-03-18,0.18130000,0.18210000,0.16930000,0.17480000,25904199.02000000
2025-03-19,0.17490000,0.17950000,0.17210000,0.17610000,40929359.40000000
2025-03-20,0.17610000,0.17690000,0.16420000,0.16760000,36180622.06000000
2025-03-21,0.16760000,0.16980000,0.15940000,0.16160000,28904104.38000000
2025-03-22,0.16150000,0.16910000,0.16100000,0.16710000,22952722.89000000
2025-03-23,0.16710000,0.17300000,0.16610000,0.16890000,26180290.24000000
2025-03-24,0.16890000,0.17930000,0.16660000,0.17710000,33339751.62000000
2025-03-25,0.17710000,0.18210000,0.17270000,0.17890000,29972900.77000000
2025-03-26,0.17890000,0.18430000,0.17220000,0.17580000,27347440.29000000
2025-03-27,0.17590000,0.18170000,0.17140000,0.17350000,17989184.95000000
2025-03-28,0.17370000,0.17460000,0.15520000,0.15790000,37415243.53000000
2025-03-29,0.15800000,0.15990000,0.14520000,0.14750000,21871028.05000000
2025-03-30,0.14750000,0.15400000,0.14550000,0.15120000,24750437.84000000
2025-03-31,0.15130000,0.15400000,0.14580000,0.14850000,32952800.38000000
2025-04-01,0.14850000,0.15880000,0.14820000,0.14980000,33967965.56000000
2025-04-02,0.14990000,0.15020000,0.13370000,0.13580000,64949989.73000000
2025-04-03,0.13580000,0.14160000,0.12690000,0.13710000,56749414.62000000
2025-04-04,0.13710000,0.14190000,0.13090000,0.14010000,34506357.90000000
2025-04-05,0.14010000,0.14050000,0.13530000,0.13820000,16751737.03000000
2025-04-06,0.13820000,0.13950000,0.11860000,0.12260000,50568708.24000000
2025-04-07,0.12270000,0.13150000,0.10860000,0.12500000,112552273.25000000
2025-04-08,0.12500000,0.12930000,0.11780000,0.12010000,32947381.26000000
2025-04-09,0.12010000,0.13970000,0.11410000,0.13780000,79680028.47000000
2025-04-10,0.13790000,0.13800000,0.12460000,0.12840000,38311431.57000000
2025-04-11,0.12850000,0.13590000,0.12690000,0.13310000,36845225.86000000
2025-04-12,0.13310000,0.13660000,0.13070000,0.13370000,32617693.18000000
2025-04-13,0.13380000,0.13450000,0.12190000,0.12450000,29248916.20000000
2025-04-14,0.12450000,0.12930000,0.12060000,0.12080000,32885410.99000000
2025-04-15,0.12090000,0.12770000,0.11760000,0.12720000,49413756.41000000
2025-04-16,0.12720000,0.12820000,0.11650000,0.11860000,63636594.83000000
2025-04-17,0.11860000,0.12290000,0.11710000,0.12050000,32217360.81000000
2025-04-18,0.12060000,0.12580000,0.11930000,0.12400000,24345447.26000000
2025-04-19,0.12400000,0.13200000,0.12270000,0.13060000,23476854.77000000
2025-04-20,0.13070000,0.13630000,0.12980000,0.13340000,25859513.82000000
2025-04-21,0.13340000,0.14020000,0.13300000,0.13540000,30417938.72000000
2025-04-22,0.13540000,0.14440000,0.13260000,0.14310000,37096328.82000000
2025-04-23,0.14310000,0.15290000,0.14240000,0.15090000,46524422.28000000
2025-04-24,0.15100000,0.15540000,0.14560000,0.15230000,41776036.59000000
2025-04-25,0.15240000,0.15900000,0.14950000,0.15430000,31556857.70000000
2025-04-26,0.15430000,0.16170000,0.15330000,0.15980000,25699627.04000000
2025-04-27,0.15990000,0.16080000,0.14530000,0.14750000,29023125.74000000
2025-04-28,0.14760000,0.15770000,0.14320000,0.15150000,31874911.85000000
2025-04-29,0.15160000,0.15680000,0.14330000,0.14520000,26719685.18000000
2025-04-30,0.14520000,0.14940000,0.14100000,0.14520000,25089216.00000000
2025-05-01,0.14530000,0.15070000,0.14280000,0.14480000,27363175.76000000
2025-05-02,0.14480000,0.14950000,0.14060000,0.14360000,29673456.35000000
2025-05-03,0.14370000,0.14370000,0.12930000,0.13110000,24783981.32000000
2025-05-04,0.13100000,0.13860000,0.12890000,0.13130000,29017407.21000000
2025-05-05,0.13130000,0.13790000,0.12660000,0.12960000,34881554.50000000
2025-05-06,0.12960000,0.13130000,0.12410000,0.13050000,38166451.75000000
2025-05-07,0.13060000,0.13470000,0.12490000,0.12860000,40520632.73000000
2025-05-08,0.12850000,0.15020000,0.12840000,0.15000000,54703434.15000000
2025-05-09,0.14990000,0.17870000,0.14940000,0.17190000,80279493.69000000
2025-05-10,0.17190000,0.19350000,0.16910000,0.19150000,61764010.69000000
2025-05-11,0.19150000,0.19350000,0.17430000,0.17960000,45243501.70000000
2025-05-12,0.17970000,0.19520000,0.16950000,0.17980000,44789233.43000000
2025-05-13,0.18000000,0.19870000,0.16570000,0.19460000,41203574.86000000
2025-05-14,0.19460000,0.19730000,0.17750000,0.17900000,35444132.33000000
2025-05-15,0.17900000,0.18140000,0.15370000,0.15880000,63354092.61000000
2025-05-16,0.15880000,0.16600000,0.15190000,0.15500000,37885935.94000000
2025-05-17,0.15490000,0.15540000,0.14530000,0.14900000,34394058.82000000
2025-05-18,0.14900000,0.16820000,0.14790000,0.16310000,51171675.86000000
2025-05-19,0.16310000,0.16460000,0.14600000,0.15130000,42638694.41000000
2025-05-20,0.15140000,0.15690000,0.14500000,0.15260000,31712338.67000000
2025-05-21,0.15250000,0.16210000,0.14950000,0.15650000,38507852.58000000
2025-05-22,0.15670000,0.18020000,0.15660000,0.17700000,50788269.88000000
2025-05-23,0.17710000,0.18380000,0.15270000,0.15500000,50998605.34000000
2025-05-24,0.15510000,0.16010000,0.15370000,0.15620000,22505930.57000000
2025-05-25,0.15620000,0.15950000,0.14700000,0.15910000,23691750.52000000
2025-05-26,0.15900000,0.16600000,0.15470000,0.15700000,27737830.15000000
2025-05-27,0.15700000,0.16500000,0.15220000,0.15910000,34721318.54000000
2025-05-28,0.15920000,0.16990000,0.15400000,0.16150000,32326100.14000000
2025-05-29,0.16160000,0.17100000,0.15100000,0.15210000,48036752.19000000
2025-05-30,0.15200000,0.15240000,0.12690000,0.12880000,86403640.52000000
2025-05-31,0.12880000,0.13630000,0.12400000,0.13320000,38508376.60000000
2025-06-01,0.13320000,0.13920000,0.13030000,0.13750000,25126928.65000000
2025-06-02,0.13750000,0.14320000,0.13260000,0.14250000,33705504.05000000
2025-06-03,0.14260000,0.14640000,0.13910000,0.14040000,24521257.87000000
2025-06-04,0.14040000,0.14370000,0.13400000,0.13520000,23454696.53000000
2025-06-05,0.13520000,0.13700000,0.12250000,0.12440000,34824783.53000000
2025-06-06,0.12440000,0.13230000,0.12340000,0.12660000,24515998.34000000
2025-06-07,0.12650000,0.13320000,0.12630000,0.13120000,17427993.91000000
2025-06-08,0.13130000,0.13510000,0.12920000,0.13120000,25331769.60000000
2025-06-09,0.13120000,0.14110000,0.12810000,0.13970000,26105870.74000000
2025-06-10,0.13980000,0.14970000,0.13680000,0.14930000,41109766.17000000
2025-06-11,0.14930000,0.15000000,0.13650000,0.13800000,40761615.45000000
2025-06-12,0.13800000,0.13840000,0.12460000,0.12620000,36824306.29000000
2025-06-13,0.12620000,0.12620000,0.11560000,0.12210000,61721770.44000000
2025-06-14,0.12210000,0.12250000,0.11530000,0.11910000,22723794.35000000
2025-06-15,0.11920000,0.12000000,0.11440000,0.11840000,27942111.53000000
2025-06-16,0.11850000,0.12680000,0.11730000,0.12010000,44259988.04000000
2025-06-17,0.12020000,0.12500000,0.11210000,0.11360000,46274317.83000000
2025-06-18,0.11370000,0.11560000,0.10710000,0.11490000,37158758.17000000
2025-06-19,0.11490000,0.11660000,0.10990000,0.11150000,26357861.15000000
2025-06-20,0.11150000,0.11510000,0.10550000,0.10780000,30829045.05000000
2025-06-21,0.10780000,0.11030000,0.10250000,0.10550000,33980675.03000000
2025-06-22,0.10560000,0.10630000,0.09620000,0.10240000,45842107.83000000
2025-06-23,0.10240000,0.11490000,0.10120000,0.11440000,38178377.77000000
2025-06-24,0.11450000,0.11880000,0.11290000,0.11630000,30071158.28000000
2025-06-25,0.11620000,0.11690000,0.10900000,0.10990000,23253876.69000000
2025-06-26,0.10990000,0.11460000,0.10560000,0.10910000,29184832.38000000
2025-06-27,0.10910000,0.11090000,0.10590000,0.11010000,22523500.35000000
2025-06-28,0.11010000,0.11560000,0.10860000,0.11400000,14716697.93000000
2025-06-29,0.11400000,0.12480000,0.11240000,0.12280000,24598389.85000000
2025-06-30,0.12280000,0.12380000,0.11550000,0.11660000,27650325.81000000
2025-07-01,0.11670000,0.11740000,0.10860000,0.10980000,26411120.09000000
2025-07-02,0.10980000,0.12220000,0.10860000,0.11980000,28794075.28000000
2025-07-03,0.11980000,0.12390000,0.11680000,0.11850000,24578308.17000000
2025-07-04,0.11850000,0.11960000,0.10910000,0.11150000,21741315.11000000
2025-07-05,0.11160000,0.11290000,0.10930000,0.11130000,16441773.62000000
2025-07-06,0.11130000,0.11540000,0.11020000,0.11340000,19377830.52000000
2025-07-07,0.11350000,0.11560000,0.10990000,0.11150000,22614790.20000000
2025-07-08,0.11150000,0.11460000,0.10920000,0.11390000,24822190.10000000
2025-07-09,0.11390000,0.12220000,0.11200000,0.12160000,25006428.76000000
2025-07-10,0.12160000,0.13830000,0.12050000,0.13730000,44320293.49000000
2025-07-11,0.13740000,0.15510000,0.13440000,0.14370000,99402089.79000000
2025-07-12,0.14370000,0.14580000,0.13160000,0.13570000,40372688.87000000
2025-07-13,0.13560000,0.14280000,0.13490000,0.13860000,29423062.49000000
2025-07-14,0.13860000,0.14760000,0.13440000,0.13700000,45252702.39000000
